All,Összes
"An error occurred while loading this tax rate.","Hiba történt az adóérték betöltése közben."
"You deleted the tax rate.","ÁFA-kulcs törölve."
"Something went wrong deleting this rate.","Hiba a kulcs törlése közben."
"Edit Tax Rate","Adókulcs szerkesztése"
"You saved the tax rate.","ÁFA-kulcs mentve."
"The tax rule has been deleted.","ÁFA szabály törölve."
"Something went wrong deleting this tax rule.","Hiba a szabály törlése közben."
"New Tax Rule","Új adószabály"
"You saved the tax rule.","ÁFA-szabály mentve."
"Invalid name of tax class specified.","A megadott adó-osztály neve érvénytelen."
"Range To should be equal or greater than Range From.","A Tartomány felső értéke egyenlő vagy nagyobb kell, hogy legyen mint a Tartomány alsó értéke."
"This class no longer exists.","Ez az osztály már nem létezik."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","Ez az adó osztály nem törölhető, mert használatban van az adózási szabályoknál. Először a szabályokat kell eltávolítania."
"You cannot delete this tax class because it is used in existing %1(s).","Ez az adó osztály nem törölhető, mert használatban van a %1."
"Custom price if available","Egyedi ár ha rendelkezésre áll"
"Original price only","Csak eredeti ár"
"Shipping Origin","Feladási hely"
"No (price without tax)","Nem (ár, adó nélkül)"
"Yes (only price with tax)","Igen (csak ár, adóval)"
"Both (without and with tax)","Mindkettő (adó nélkül és adóval)"
"Invalid type supplied","Érvénytelen típus"
"Class name and class type","Osztály neve és típusa"
"Grand Total (Excl. Tax)","Végösszeg (adó nélkül)"
"Grand Total (Incl. Tax)","Végösszeg (adó nélkül)"
"Shipping (Excl. Tax)","Szállítás (Adó nélkül)"
"Shipping (Incl. Tax)","Szállítás (Adóval)"
"Before Discount","Kedvezmény nélkül"
"After Discount",Kedvezményesen
"Store(s) affected: ","Bolt(ok)at érint: "
"Click on the link to <a href=""%1"">ignore this notification</a>","Kattintson a linkre, hogy <a href=""%1"">figyelmen kívül hagyja az értesítést</a>"
product,termék
"Excl. tax:","Adó nélkül:"
Note:,Megjegyzés:
"An error occurred","Hiba történt"
Taxes,Adók
"Calculation Settings","Számítási beállítások"
"Catalog Prices","Katalógus árak"
"Shipping Prices","Szállítási költségek"
"Default Post Code","Alapértelmezett irányítószám"
"Price Display Settings","Ár megjelenítési beállítások"
"Display Shipping Prices","Szállítási költségek megjelenítése"
"Shopping Cart Display Settings","Kosár megjelenítési beállítások"
"Display Prices","Árak megjelenítése"
"Display Subtotal","Részösszeg megjelenítése"
"Display Shipping Amount","Szállítási költség megjelenítése"
"Orders, Invoices, Credit Memos Display Settings","Rendelések, számlák, hitel feljegyzések megjelenítési beállítások"
"Invalid file format.","Érvénytelen fájlformátum."
"Import Tax Rates","Adókulcsok importálása"
"Save and Continue","Mentés és folytatás"
"Save Configuration","Beállítások mentése"
Themes,Témák
"Are you sure you want to delete this theme?","Biztosan törölni akarod ezt a témát?"
"Theme: %1","Téma: %1"
"Theme CSS","Téma CSS"
"Theme CSS Assets","Téma CSS eszközei"
"Custom CSS","Egyéni CSS"
"Select CSS File to Upload","Válassza ki a feltöltendő CSS file-t"
"Upload CSS File","CSS file feltöltése"
"Download CSS File","CSS file letöltése"
"Upload Images","Képek feltöltése"
"Images Assets","Kép eszközök"
"Upload Fonts","Betűtípus feltöltése"
"Fonts Assets","Szöveg eszközök"
"Edit custom.css","Custom.css szerkesztése"
"Allowed file types *.css.","Engedélyezett file típusok *.css."
"Max file size to upload %1M","Maximálisan feltölthető file méret %1M"
"Something is wrong with the file upload settings.","Hiba történt a fájl feltöltési beállításokkal."
"CSS Editor","CSS szerkesztő"
"Theme Settings","Téma beállítások"
"Parent Theme","Fölérendelt téma"
"Theme Path","Téma elérési útja"
"Theme Title","Téma címe"
"Theme Preview Image","Téma előnézeti kép"
"Copy of %1","%1 másolata"
"Max image size %1M","Maximális képméret %1M"
"Theme JavaScript","JavaScript téma"
"Select JS Files to Upload","Válassza ki a feltöltendő JS fájlt"
"Upload JS Files","JS file feltöltése"
"JS Editor","JS szerkesztő"
"Allowed file types *.js.","Engedélyezett file típusok *.js."
"Create Folder","Mappa létrehozása"
"Insert File","Fájl beszúrása"
welcome,üdvözöljük
"Design Configuration",Design-konfiguráció
"You deleted the theme.","A Témát törölte."
"We cannot delete the theme.","A Téma nem törölhető."
"File not found: ""%1"".","Fájl nem található: ""%1""."
"We cannot find theme ""%1"".","""%1"" Téma nem található."
"We cannot find the theme.","Téma nem található."
"This theme is not editable.","Ez a Téma nem módosítható."
"You saved the theme.","A Témát elmentette."
"We cannot find a theme with id ""%1"".","A ""%1"" azonosítójú Téma nem található."
"Invalid type","Érvénytelen típus"
"Browse Files","Fájlok tallózása"
"JavaScript seems to be disabled in your browser.","Úgy tűnik a JavaScript ki van kapcsolva a böngésződben."
"For the best experience on our site, be sure to turn on Javascript in your browser.","A legjobb élményhez az oldalunkon, győződjön meg róla, hogy a JavaScript be van kapcsolva a böngészőjében."
"Local Storage seems to be disabled in your browser.","Úgy tűnik a helyi tárolás ki van kapcsolva a böngészőjében."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","A legjobb élményhez az oldalunkon, győződjön meg róla, hogy a helyi tárolás be van kapcsolva a böngészőjében."
"Items %1 to %2 of %3 total","Elem %1-%2/%3"
"%1 Item(s)","%1 elem"
Page,Oldal
"We don't recognize this file extension.","Ez a fájl kiterjesztés nem ismert."
"1 column","1 oszlop"
"Default welcome msg!","Alapértelmezett üdvözlő üzenet!"
"Theme Information","Téma információk"
"Favicon Icon","Favicon ikon"
"Scripts and Style Sheets","Szkriptek és stíluslapok"
"Display Demo Store Notice","Demo bolt értesítés megjelenítése"
"Logo Attribute Width","Logo szélessége"
"Logo Attribute Height","Logo magassága"
"Welcome Text","Üdvözlő szöveg"
"This will be displayed just before the body closing tag.","Ez a body záró tag előtt lesz megjelenítve."
"Default Robots","Alapértelmezett Robotok"
"Edit custom instruction of robots.txt File","Egyéni robots.txt utasítás szerkesztése"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Ez a művelet törli az egyéni utasításokat és a robots.txt fájlt visszaállítja a rendszer alapértelmezett beállítására."
"Skip to Content","Ugrás a tartalomhoz"
Menu,Menü
Account,Fiók
"2 columns with left bar","2 oszlop bal oldalsávval"
"2 columns with right bar","2 oszlop jobb oldalsávval"
"3 columns","3 oszlop"
"Dictionary (Translation on Storefront side)","Szótár (fordítás Storefront oldalon)"
"Embedded (Translation on Admin side)","Beágyazott (fordítás Admin oldalon)"
"Translation Strategy","Fordítási stratégia"
Translations,Fordítások
"Translation files","Fordítási fájlok"
"Condition type ""%1"" is not allowed","""%1"" feltételtípus nem engedélyezett"
"Remove %1","%1 eltávolítása"
"Add New %1","Új %1 hozzáadása"
"New %1","Új %1"
"Unsupported bookmark action.","Nem támogatott könyvjelző művelet."
Filters,Szűrők
Selected,Kiválasztva
"Select All on This Page","Összes kiválasztása ezen az oldalon"
"Deselect All on This Page","Összes kiválasztás megszüntetése ezen az oldalon"
On,Be
Off,Ki
"Go to Details Page","Tovább a részletek oldalra"
"New View","Új nézet"
"Default View","Alapértelmezett nézet"
"${ $.visible } out of ${ $.total } visible","${ $.visible } / ${ $.total } látható"
"You have successfully saved your edits.","Sikeresen mentette a módosításokat."
"You haven't selected any items!","Nem jelölt ki egy elemet sem!"
Keyword,Kulcsszó
"Please enter more or equal than {0} symbols.","Kérem adjon meg {0} vagy több szimbólumot."
"Please enter less or equal than {0} symbols.","Kérem adjon meg {0} vagy kevesebb szimbólumot."
"Please enter {0} words or less.","Kérem {0} vagy kevesebb szót írjon be."
"Please enter at least {0} words.","Kérem legalább {0} szót adjon meg."
"Please enter between {0} and {1} words.","Kérem {0} és {1} darab közötti szót írjon be."
"Letters or punctuation only please","Kérem csak betűt vagy pontot adjon meg"
"Letters, numbers, spaces or underscores only please","Kérem csak betűt, számot, szóközt vagy alulvonást adjon meg"
"Letters only please","Kérem csak betűket adjon meg"
"No white space please","Kérem ne adjon meg szóközöket"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Az irányítószámnak a 902xx-xxxx-905-xx-XXXX tartományban kell lennie"
"A positive or negative non-decimal number please","Kérem pozitív vagy negatív egész számot adjon meg"
"The specified vehicle identification number (VIN) is invalid.","A megadott alvázszám érvénytelen."
"Please enter a correct date","Kérem adjon meg egy érvényes dátumot"
"Please enter a valid time, between 00:00 and 23:59","Kérem adjon meg egy érvényes időpontot 00:00 és 23:59 között"
"Please enter a valid time, between 00:00 am and 12:00 pm","Kérem adjon meg egy érvényes időpontot 00:00 Am és 12:00 Pm között"
"Please specify a valid phone number","Kérem adjon meg egy érvényes telefonszámot"
"Please specify a valid mobile number","Kérem adjon meg egy érvényes mobil számot"
"Please enter at least {0} characters","Kérem adjon meg legalább {0} karaktert"
"Please enter a valid IP v4 address.","Kérem adjon meg egy érvényes IP v4 címet."
"Please enter a valid IP v6 address.","Kérem adjon meg egy érvényes IP v6 címet."
"Invalid format.","Érvénytelen formátum."
"HTML tags are not allowed.","HTML címkék nem engedélyezettek."
"Please select an option.","Kérem válasszon opciót."
"Empty Value.","Üres érték."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Ebben a mezőben csak betűket (a-z vagy A-Z), számokat (0-9) vagy szóközöket használhat."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Ebben a mezőben csak betűket (a-z vagy A-Z), számokat (0-9) vagy alulvonást (_) használhat, és az első karakternek betűnek kell lennie."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Ebben a mezőben csak betűket (a-z vagy A-Z), számokat (0-9), szóközt vagy ""#""-t használhat."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Kérem adjon meg egy érvényes telefonszámot. Például (123) 456-7890 vagy 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Kérem érvényes fax számot adjon meg (Pl: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Kérem adjon meg egy érvényes email címet (Például: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Kérem írjon be 6 vagy több karaktert. A szóközök a karakterlánc elején és végén figyelmen kívül lesznek hagyva."
"Please enter 7 or more characters, using both numeric and alphabetic.","Kérem írjon be 7 vagy több karaktert, számokat és betűket is használjon."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Ennek a mezőnek a minimális hossza %1 szimbólum kell, hogy legyen. A karakterlánc elején és végén levő szóközök figyelmen kívül lesznek hagyva."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Kérem adjon meg egy érvényes URL-t. A protokoll megadása szükséges (http://, https:// or ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Kérem adjon meg egy érvényes URL-t. Például http://www.example.com vagy www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Kérjük, adhon meg egy érvényes XML-azonosítót (pl: valami_1, blokk5, id-4)."
